Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
2025-06-24 12:12:52,Fibonacci,20000,9.75,20.63,1.22,4,4,85.9,2.17,3878.04,3963.94
2025-06-24 12:13:02,Fibonacci,20000,9.33,24.81,1.22,4,4,392.24,9.9,3571.7,3963.94
2025-06-24 12:13:19,Fibonacci,20000,9.34,13.81,1.22,4,4,1.07,0.03,3962.87,3963.94
2025-06-24 12:13:31,Fibonacci,20000,9.36,16.3,1.22,4,4,85.05,2.15,3878.89,3963.94
2025-06-24 12:13:41,Fibonacci,20000,9.35,24.75,1.22,4,4,389.39,9.82,3574.55,3963.94
2025-06-24 12:13:51,Fibonacci,20000,9.36,24.61,1.22,4,4,388.23,9.79,3575.7,3963.94
2025-06-24 12:14:02,Fibonacci,20000,9.34,24.48,1.22,4,4,390.25,9.84,3573.69,3963.94
2025-06-24 12:14:14,Fibonacci,20000,9.34,24.85,1.22,4,4,389.47,9.83,3574.46,3963.94
2025-06-24 12:14:26,Fibonacci,20000,9.35,17.26,1.22,4,4,85.08,2.15,3878.86,3963.94
2025-06-24 12:14:38,Fibonacci,20000,9.35,12.35,0.83,4,4,0.91,0.02,3963.03,3963.94
2025-06-24 12:14:40,Hello,,0.19,0.0,1.22,4,4,4.14,0.1,3959.8,3963.94
2025-06-24 12:14:42,Hello,,0.2,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:43,Hello,,0.19,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:44,Hello,,0.2,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:45,Hello,,0.19,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:47,Hello,,0.18,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:48,Hello,,0.18,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:50,Hello,,0.18,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:51,Hello,,0.21,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:52,Hello,,0.2,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:53,IsPrime,29937646239629496719,0.2,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:54,IsPrime,29937646239629496719,0.21,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:14:55,IsPrime,29937646239629496719,0.19,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:15:01,IsPrime,29937646239629496719,0.18,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:15:02,IsPrime,29937646239629496719,0.2,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:15:03,IsPrime,29937646239629496719,0.18,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:15:04,IsPrime,29937646239629496719,0.2,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:15:06,IsPrime,29937646239629496719,0.19,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:15:09,IsPrime,29937646239629496719,0.19,0.0,1.22,4,4,0.0,0.0,0.0,3963.94
2025-06-24 12:15:12,IsPrime,29937646239629496719,0.24,0.0,1.22,4,4,4.43,0.11,3959.51,3963.94
2025-06-24 12:17:03,YOLOv8,input.jpg,108.67,3.2,1.22,4,4,983.47,24.81,2980.47,3963.94
2025-06-24 12:18:42,YOLOv8,input.jpg,97.18,24.48,1.22,4,4,917.98,23.16,3045.96,3963.94
2025-06-24 12:20:19,YOLOv8,input.jpg,95.33,25.0,1.22,4,4,868.05,21.9,3095.88,3963.94
2025-06-24 12:21:59,YOLOv8,input.jpg,98.55,24.77,1.22,4,4,892.5,22.52,3071.43,3963.94
2025-06-24 12:23:35,YOLOv8,input.jpg,94.86,24.49,1.22,4,4,901.5,22.74,3062.44,3963.94
2025-06-24 12:25:13,YOLOv8,input.jpg,95.96,24.37,1.22,4,4,548.32,13.83,3415.61,3963.94
2025-06-24 12:26:51,YOLOv8,input.jpg,96.78,24.71,1.22,4,4,886.29,22.36,3077.64,3963.94
2025-06-24 12:28:36,YOLOv8,input.jpg,96.42,24.98,1.22,4,4,884.45,22.31,3079.49,3963.94
2025-06-24 12:30:15,YOLOv8,input.jpg,96.25,24.78,1.22,4,4,901.78,22.75,3062.16,3963.94
2025-06-24 12:31:51,YOLOv8,input.jpg,94.37,24.64,1.22,4,4,812.68,20.5,3151.26,3963.94
2025-06-24 12:33:15,YOLOv8,input1.jpg,81.92,24.78,1.22,4,4,470.09,11.86,3493.84,3963.94
2025-06-24 12:34:33,YOLOv8,input1.jpg,77.84,23.79,1.48,4,4,261.59,6.6,3702.35,3963.94
2025-06-24 12:35:54,YOLOv8,input1.jpg,79.16,24.75,1.22,4,4,680.4,17.16,3283.54,3963.94
2025-06-24 12:37:13,YOLOv8,input1.jpg,78.3,24.89,1.22,4,4,700.49,17.67,3263.45,3963.94
2025-06-24 12:38:34,YOLOv8,input1.jpg,78.95,24.53,1.22,4,4,624.85,15.76,3339.09,3963.94
2025-06-24 12:39:54,YOLOv8,input1.jpg,78.45,24.84,1.22,4,4,892.88,22.52,3071.06,3963.94
2025-06-24 12:41:16,YOLOv8,input1.jpg,81.53,24.77,1.22,4,4,859.97,21.69,3103.96,3963.94
2025-06-24 12:42:37,YOLOv8,input1.jpg,79.22,24.87,1.22,4,4,923.5,23.3,3040.44,3963.94
2025-06-24 12:43:57,YOLOv8,input1.jpg,78.93,24.79,1.22,4,4,404.76,10.21,3559.18,3963.94
2025-06-24 12:45:18,YOLOv8,input1.jpg,79.06,24.59,1.22,4,4,635.6,16.03,3328.34,3963.94
2025-06-24 12:46:44,YOLOv8,input2.jpg,84.0,24.78,1.22,4,4,611.18,15.42,3352.76,3963.94
2025-06-24 12:48:06,YOLOv8,input2.jpg,81.13,24.76,1.22,4,4,619.09,15.62,3344.84,3963.94
2025-06-24 12:49:29,YOLOv8,input2.jpg,81.27,24.78,1.22,4,4,838.81,21.16,3125.13,3963.94
2025-06-24 12:50:52,YOLOv8,input2.jpg,82.37,24.92,1.22,4,4,736.25,18.57,3227.68,3963.94
2025-06-24 12:52:15,YOLOv8,input2.jpg,81.57,24.93,1.22,4,4,791.47,19.97,3172.47,3963.94
2025-06-24 12:53:38,YOLOv8,input2.jpg,80.58,24.77,1.22,4,4,997.59,25.17,2966.35,3963.94
2025-06-24 12:55:05,YOLOv8,input2.jpg,81.44,24.85,1.22,4,4,871.04,21.97,3092.9,3963.94
2025-06-24 12:56:36,YOLOv8,input2.jpg,82.51,24.92,1.22,4,4,888.5,22.41,3075.44,3963.94
2025-06-24 12:57:59,YOLOv8,input2.jpg,81.79,25.2,1.22,4,4,935.53,23.6,3028.41,3963.94
2025-06-24 12:59:21,YOLOv8,input2.jpg,80.87,24.04,1.22,4,4,262.5,6.62,3701.43,3963.94
2025-06-24 13:01:13,YOLOv8,input.jpg,100.85,24.67,1.22,4,4,1257.03,31.71,2706.91,3963.94
2025-06-24 13:02:58,YOLOv8,input.jpg,93.32,24.93,1.22,4,4,613.07,15.47,3350.87,3963.94
2025-06-24 13:04:34,YOLOv8,input.jpg,93.99,24.76,1.22,4,4,614.32,15.5,3349.62,3963.94
2025-06-24 13:06:09,YOLOv8,input.jpg,93.37,24.81,1.48,4,4,961.13,24.25,3002.8,3963.94
2025-06-24 13:07:46,YOLOv8,input.jpg,94.53,24.71,1.22,4,4,858.94,21.67,3105.0,3963.94
2025-06-24 13:09:20,YOLOv8,input.jpg,92.87,25.24,1.22,4,4,948.04,23.92,3015.89,3963.94
2025-06-24 13:11:02,YOLOv8,input.jpg,96.04,24.81,1.22,4,4,827.55,20.88,3136.39,3963.94
