Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
2025-06-25 03:15:04,Hello,,27.1,0.43,1.19,8,8,7.57,0.05,14879.15,14886.72
2025-06-25 03:15:04,Fibonacci,20000,21.95,0.2,1.34,8,8,5.68,0.04,14881.05,14886.72
2025-06-25 03:15:05,IsPrime,29937646239629496719,27.27,0.22,1.19,8,8,6.88,0.05,14879.85,14886.72
2025-06-25 03:23:53,YOLOv8,input1.jpg,197.37,0.01,1.19,8,8,899.29,6.04,13987.43,14886.72
2025-06-25 03:23:53,YOLOv8,input2.jpg,237.31,0.01,1.19,8,8,837.22,5.62,14049.5,14886.72
2025-06-25 03:23:53,YOLOv8,input.jpg,245.98,0.01,1.19,8,8,697.76,4.69,14188.96,14886.72
2025-06-25 03:23:53,YOLOv8,input2.jpg,220.44,0.01,1.19,8,8,832.91,5.59,14053.81,14886.72
2025-06-25 03:23:53,YOLOv8,input1.jpg,195.91,0.01,1.19,8,8,742.89,4.99,14143.83,14886.72
2025-06-25 03:23:53,YOLOv8,input.jpg,214.42,0.01,1.19,8,8,930.09,6.25,13956.63,14886.72
2025-06-25 03:25:26,IsPrime,29937646239629496719,4.81,1.59,1.19,8,8,7.09,0.05,14879.64,14886.72
2025-06-25 03:25:28,Hello,,0.84,0.0,2.04,8,8,0.0,0.0,0.0,14886.72
2025-06-25 03:25:28,Fibonacci,20000,4.3,0.0,2.27,8,8,0.0,0.0,0.0,14886.72
2025-06-25 03:36:34,YOLOv8,input1.jpg,191.86,0.01,1.19,8,8,694.12,4.66,14192.6,14886.72
2025-06-25 03:36:34,YOLOv8,input1.jpg,198.64,0.02,1.19,8,8,960.89,6.45,13925.84,14886.72
2025-06-25 03:36:34,YOLOv8,input.jpg,196.1,0.02,1.19,8,8,1096.47,7.37,13790.25,14886.72
2025-06-25 03:36:34,YOLOv8,input2.jpg,200.28,0.01,1.19,8,8,947.47,6.36,13939.25,14886.72
