Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
23/06/2025 20:57,Fibonacci,20000,2.84,49.49,2.7,2,2,323.15,16.47,1639.45,1962.6
23/06/2025 20:57,Fibonacci,20000,2.66,50.27,2.7,2,2,233.75,11.91,1728.86,1962.6
23/06/2025 20:57,Fibonacci,20000,2.67,49.93,2.7,2,2,235.98,12.02,1726.62,1962.6
23/06/2025 20:57,Fibonacci,20000,2.67,49.59,2.7,2,2,232.49,11.85,1730.11,1962.6
23/06/2025 20:57,Fibonacci,20000,2.7,49.89,2.7,2,2,228.04,11.62,1734.57,1962.6
23/06/2025 20:58,Fibonacci,20000,2.63,50,2.7,2,2,249.63,12.72,1712.97,1962.6
23/06/2025 20:58,Fibonacci,20000,2.65,49.77,2.7,2,2,234.65,11.96,1727.95,1962.6
23/06/2025 20:58,Fibonacci,20000,2.68,49.7,2.7,2,2,237.27,12.09,1725.34,1962.6
23/06/2025 20:58,Fibonacci,20000,2.66,49.75,2.7,2,2,237.17,12.08,1725.43,1962.6
23/06/2025 20:58,Fibonacci,20000,2.65,49.29,2.7,2,2,240.54,12.26,1722.06,1962.6
23/06/2025 20:58,Hello,,0.18,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.18,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.19,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.19,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.17,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.16,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.16,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.18,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.2,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,Hello,,0.17,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.17,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.17,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.16,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.18,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.18,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.18,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.16,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.16,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.16,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:58,IsPrime,29937646239629496719,0.17,0,2.7,2,2,0,0,0,1962.6
23/06/2025 20:59,YOLOv8,input.jpg,35.3,34.1,2.7,2,2,913.41,46.54,1049.2,1962.6
23/06/2025 20:59,YOLOv8,input.jpg,33.11,26.07,2.7,2,2,776.58,39.57,1186.02,1962.6
23/06/2025 21:00,YOLOv8,input.jpg,34.08,30.1,2.7,2,2,880.94,44.89,1081.66,1962.6
23/06/2025 21:00,YOLOv8,input.jpg,35.15,42.75,2.7,2,2,810.95,41.32,1151.65,1962.6
23/06/2025 21:01,YOLOv8,input.jpg,34.92,46.8,2.7,2,2,1057.66,53.89,904.94,1962.6
23/06/2025 21:02,YOLOv8,input.jpg,34.84,49.09,2.7,2,2,1033.26,52.65,929.34,1962.6
23/06/2025 21:02,YOLOv8,input.jpg,32.88,47.01,2.7,2,2,1052.68,53.64,909.92,1962.6
23/06/2025 21:03,YOLOv8,input.jpg,33.58,49.31,2.7,2,2,954.27,48.62,1008.33,1962.6
23/06/2025 21:03,YOLOv8,input.jpg,34.42,42.13,2.7,2,2,910.24,46.38,1052.36,1962.6
23/06/2025 21:04,YOLOv8,input.jpg,35.03,33.97,2.7,2,2,182.83,9.32,1779.77,1962.6
23/06/2025 21:04,YOLOv8,input1.jpg,28.95,49.98,2.7,2,2,1181.15,60.18,781.45,1962.6
23/06/2025 21:05,YOLOv8,input1.jpg,27.62,50.25,2.7,2,2,1068.95,54.47,893.65,1962.6
23/06/2025 21:05,YOLOv8,input1.jpg,25.9,49.65,2.7,2,2,1063.32,54.18,899.28,1962.6
23/06/2025 21:06,YOLOv8,input1.jpg,26.63,50,2.7,2,2,1066.82,54.36,895.79,1962.6
23/06/2025 21:06,YOLOv8,input1.jpg,29.57,49.14,2.7,2,2,1052.9,53.65,909.7,1962.6
23/06/2025 21:07,YOLOv8,input1.jpg,25.2,49.75,2.7,2,2,862.08,43.93,1100.52,1962.6
23/06/2025 21:07,YOLOv8,input1.jpg,26.12,46.48,2.7,2,2,743.27,37.87,1219.33,1962.6
23/06/2025 21:08,YOLOv8,input1.jpg,28.3,49.07,2.7,2,2,956.7,48.75,1005.9,1962.6
23/06/2025 21:08,YOLOv8,input1.jpg,31.76,49.27,2.7,2,2,1073.66,54.71,888.95,1962.6
23/06/2025 21:09,YOLOv8,input1.jpg,27.26,49.64,2.7,2,2,1044.57,53.22,918.03,1962.6
23/06/2025 21:09,YOLOv8,input2.jpg,26.58,49.7,2.7,2,2,1087.8,55.43,874.8,1962.6
23/06/2025 21:10,YOLOv8,input2.jpg,26.39,49.31,2.7,2,2,1097.32,55.91,865.29,1962.6
23/06/2025 21:10,YOLOv8,input2.jpg,26.09,46.76,2.7,2,2,893.23,45.51,1069.38,1962.6
23/06/2025 21:10,YOLOv8,input2.jpg,26.15,48.4,2.7,2,2,880.79,44.88,1081.82,1962.6
23/06/2025 21:11,YOLOv8,input2.jpg,26.23,49.55,2.7,2,2,889.92,45.34,1072.68,1962.6
23/06/2025 21:11,YOLOv8,input2.jpg,26.06,49.36,2.7,2,2,713.59,36.36,1249.01,1962.6
23/06/2025 21:12,YOLOv8,input2.jpg,26.41,49.9,2.7,2,2,1070.88,54.56,891.73,1962.6
23/06/2025 21:12,YOLOv8,input2.jpg,26.57,50.01,2.7,2,2,1086.04,55.34,876.56,1962.6
23/06/2025 21:13,YOLOv8,input2.jpg,26.37,49.87,2.7,2,2,975.55,49.71,987.05,1962.6
23/06/2025 21:13,YOLOv8,input2.jpg,26.42,49.31,2.7,2,2,926.66,47.22,1035.94,1962.6
23/06/2025 21:14,YOLOv8,input.jpg,32.5,44.73,2.7,2,2,1059.16,53.97,903.45,1962.6
23/06/2025 21:14,YOLOv8,input.jpg,31.79,49.79,2.7,2,2,1071.88,54.62,890.72,1962.6
23/06/2025 21:15,YOLOv8,input.jpg,30.94,8.96,2.7,2,2,896.72,45.69,1065.88,1962.6
23/06/2025 21:15,YOLOv8,input.jpg,10.41,4.65,2.7,2,2,296.45,15.11,1666.15,1962.6
23/06/2025 21:15,YOLOv8,input.jpg,9.88,6.75,2.7,2,2,266.11,13.56,1696.49,1962.6
23/06/2025 21:15,YOLOv8,input.jpg,9.69,7.05,2.7,2,2,281.13,14.32,1681.47,1962.6
23/06/2025 21:15,YOLOv8,input.jpg,8.47,5.04,2.7,2,2,265.42,13.52,1697.18,1962.6
23/06/2025 21:16,YOLOv8,input.jpg,8.46,4.18,2.7,2,2,268.94,13.7,1693.66,1962.6
23/06/2025 21:16,YOLOv8,input.jpg,5.76,6.45,2.7,2,2,147.79,7.53,1814.81,1962.6
23/06/2025 21:16,YOLOv8,input.jpg,5.64,7.3,2.7,2,2,147.85,7.53,1814.75,1962.6
23/06/2025 21:16,YOLOv8,input1.jpg,5.53,6.61,2.7,2,2,150.02,7.64,1812.59,1962.6
24/06/2025 06:58,YOLOv8,input1.jpg,28.06,50.19,2.7,2,2,994.84,50.69,967.76,1962.6
24/06/2025 06:58,YOLOv8,input1.jpg,24.97,50.37,2.7,2,2,1003.12,51.11,959.48,1962.6
24/06/2025 06:59,YOLOv8,input1.jpg,24.63,49.74,2.7,2,2,972.45,49.55,990.16,1962.6
24/06/2025 06:59,YOLOv8,input1.jpg,24.86,50.02,2.7,2,2,967.63,49.3,994.97,1962.6
24/06/2025 07:00,YOLOv8,input1.jpg,28.37,49.41,2.7,2,2,955.9,48.71,1006.7,1962.6
24/06/2025 07:00,YOLOv8,input1.jpg,26.21,49.7,2.7,2,2,957.29,48.78,1005.32,1962.6
24/06/2025 07:01,YOLOv8,input1.jpg,31.44,49.14,2.7,2,2,1044.71,53.23,917.89,1962.6
24/06/2025 07:01,YOLOv8,input1.jpg,28.38,49.61,2.7,2,2,1007.81,51.35,954.79,1962.6
24/06/2025 07:02,YOLOv8,input1.jpg,36.16,49.89,2.7,2,2,789.7,40.24,1172.9,1962.6
24/06/2025 07:02,YOLOv8,input1.jpg,33.83,50,2.7,2,2,988.43,50.36,974.18,1962.6
24/06/2025 07:03,YOLOv8,input2.jpg,32.1,49.25,2.7,2,2,720.77,36.73,1241.84,1962.6
24/06/2025 07:03,YOLOv8,input2.jpg,30.36,49.8,2.7,2,2,837.61,42.68,1125,1962.6
24/06/2025 07:04,YOLOv8,input2.jpg,37.02,49.77,2.7,2,2,750.93,38.26,1211.68,1962.6
24/06/2025 07:04,YOLOv8,input2.jpg,35.74,48.81,2.7,2,2,1006.24,51.27,956.36,1962.6
24/06/2025 07:05,YOLOv8,input2.jpg,36.73,50.33,2.7,2,2,1049.9,53.5,912.7,1962.6
24/06/2025 07:06,YOLOv8,input2.jpg,35.13,47.36,2.7,2,2,853.5,43.49,1109.1,1962.6
24/06/2025 07:06,YOLOv8,input2.jpg,25.19,49.87,2.7,2,2,1011.17,51.52,951.43,1962.6
24/06/2025 07:07,YOLOv8,input2.jpg,27.29,50.06,2.7,2,2,789.05,40.2,1173.55,1962.6
24/06/2025 07:07,YOLOv8,input2.jpg,24.98,50.09,2.7,2,2,1012.44,51.59,950.16,1962.6
24/06/2025 07:08,YOLOv8,input2.jpg,37.41,50.59,2.7,2,2,1035.47,52.76,927.13,1962.6
