Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
25/06/2025 09:05,IsPrime,29937646239629496719,1.15,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:05,Hello,,1.38,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:05,Fibonacci,20000,9.12,15.3,2.7,2,2,364.31,18.56,1598.29,1962.6
25/06/2025 09:06,YOLOv8,input.jpg,37.24,15.09,2.7,2,2,279.85,14.26,1682.75,1962.6
25/06/2025 09:12,YOLOv8,input2.jpg,257.22,3.02,2.7,2,2,343.65,17.51,1618.95,1962.6
25/06/2025 09:12,YOLOv8,input1.jpg,399.29,2.61,2.7,2,2,344.41,17.55,1618.2,1962.6
25/06/2025 09:12,YOLOv8,input2.jpg,421.52,2.18,2.7,2,2,373.62,19.04,1588.98,1962.6
25/06/2025 09:14,YOLOv8,input1.jpg,499.63,5.21,2.7,2,2,582.3,29.67,1380.3,1962.6
25/06/2025 09:14,YOLOv8,input.jpg,504.37,48.75,2.7,2,2,968.2,49.33,994.4,1962.6
25/06/2025 09:14,Hello,,0.69,0,2.7,2,2,1.4,0.07,1961.2,1962.6
25/06/2025 09:14,IsPrime,29937646239629496719,0.75,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:14,Fibonacci,20000,8.14,12.19,2.7,2,2,235.99,12.02,1726.61,1962.6
25/06/2025 09:18,YOLOv8,input1.jpg,250.52,0.68,2.7,2,2,0.18,0.01,1962.43,1962.6
25/06/2025 09:22,YOLOv8,input.jpg,445.04,7.29,2.7,2,2,358.13,18.25,1604.47,1962.6
25/06/2025 09:22,YOLOv8,input2.jpg,486.1,2.24,2.7,2,2,330.96,16.86,1631.64,1962.6
25/06/2025 09:25,YOLOv8,input1.jpg,663.89,2.08,2.7,2,2,594.84,30.31,1367.76,1962.6
25/06/2025 09:30,YOLOv8,input2.jpg,960.59,7.86,2.7,2,2,709.77,36.16,1252.83,1962.6
25/06/2025 09:30,YOLOv8,input.jpg,965.11,43.63,2.7,2,2,726.45,37.01,1236.15,1962.6
25/06/2025 09:30,IsPrime,29937646239629496719,0.72,0,2.7,2,2,2.66,0.14,1959.94,1962.6
25/06/2025 09:30,Hello,,0.99,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:30,Fibonacci,20000,8.37,18.05,2.7,2,2,84.56,4.31,1878.04,1962.6
25/06/2025 09:30,YOLOv8,input1.jpg,15.46,16.04,2.7,2,2,295.52,15.06,1667.08,1962.6
25/06/2025 09:30,YOLOv8,input.jpg,19.05,14.95,2.7,2,2,334,17.02,1628.61,1962.6
25/06/2025 09:34,YOLOv8,input2.jpg,268.74,48.39,2.7,2,2,590.62,30.09,1371.98,1962.6
25/06/2025 09:36,YOLOv8,input1.jpg,375.53,1.89,2.7,2,2,587.82,29.95,1374.79,1962.6
25/06/2025 09:38,YOLOv8,input2.jpg,508.59,5.95,2.7,2,2,906.23,46.17,1056.37,1962.6
25/06/2025 09:38,YOLOv8,input.jpg,516.25,43.7,2.7,2,2,1089.71,55.52,872.89,1962.6
25/06/2025 09:38,Hello,,1.05,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:38,IsPrime,29937646239629496719,0.81,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:38,Fibonacci,20000,8.46,18.68,2.7,2,2,84.58,4.31,1878.02,1962.6
25/06/2025 09:39,YOLOv8,input.jpg,38.21,14.37,2.7,2,2,289.69,14.76,1672.91,1962.6
25/06/2025 09:40,YOLOv8,input.jpg,49.7,8.04,2.7,2,2,359.29,18.31,1603.31,1962.6
25/06/2025 09:40,YOLOv8,input2.jpg,125.9,6.14,2.7,2,2,359.74,18.33,1602.86,1962.6
25/06/2025 09:41,YOLOv8,input1.jpg,158.45,3.9,2.7,2,2,468.57,23.87,1494.04,1962.6
25/06/2025 09:41,YOLOv8,input1.jpg,183.4,7.25,2.7,2,2,818.34,41.7,1144.26,1962.6
25/06/2025 09:41,YOLOv8,input2.jpg,188.46,34.03,2.7,2,2,126.61,6.45,1835.99,1962.6
25/06/2025 09:41,Hello,,1.27,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:41,IsPrime,29937646239629496719,1.34,0,2.7,2,2,0,0,0,1962.6
25/06/2025 09:42,Fibonacci,20000,8.08,17.27,2.7,2,2,350.05,17.84,1612.55,1962.6
25/06/2025 09:43,YOLOv8,input2.jpg,95.85,15.89,2.7,2,2,278.83,14.21,1683.77,1962.6
25/06/2025 09:43,YOLOv8,input.jpg,99.37,27.35,2.7,2,2,360.39,18.36,1602.21,1962.6
25/06/2025 09:44,YOLOv8,input2.jpg,167.64,1.8,2.7,2,2,569.72,29.03,1392.88,1962.6
25/06/2025 10:03,YOLOv8,input.jpg,1305.8,2.17,2.7,2,2,573.22,29.21,1389.38,1962.6
25/06/2025 10:04,YOLOv8,input1.jpg,1348.76,1.13,2.7,2,2,853.04,43.46,1109.56,1962.6
25/06/2025 10:04,YOLOv8,input1.jpg,1354.2,1.56,2.7,2,2,553.55,28.21,1409.05,1962.6
25/06/2025 10:04,IsPrime,29937646239629496719,1.09,0,2.7,2,2,0,0,0,1962.6
25/06/2025 10:04,Hello,,0.9,0,2.7,2,2,0,0,0,1962.6
25/06/2025 10:04,Fibonacci,20000,8.69,16.65,2.7,2,2,84.59,4.31,1878.01,1962.6
25/06/2025 10:04,YOLOv8,input.jpg,15.35,16.05,2.7,2,2,285.87,14.57,1676.73,1962.6
